"Region";"X2021";"X2020";"X2019";"X2018";"X2017";"X2016";"X2015";"X2014";"X2013";"X2012";"X2011";"X2010";"X2009";"X2008";"X2007";"X2006";"X2005";"X2004";"X2003";"X2002"
"Beijing";"73.66";"75.52";"78.12";"78.28";"76.59";"77.38";"79.22";"81.29";"81.5";"82.03";"82.43";"81.29";"79.99";"80.01";"80.18";"78.8";"78.9";"78.92";"78.24";"77.79"
"Tianjin";"70.81";"73.92";"77.64";"78.81";"77.42";"77.74";"79.57";"77.55";"77.36";"77.81";"79.58";"79.26";"78.9";"76.97";"77.8";"77.37";"77.64";"76.1";"75.11";"74.7"
"Hebei";"65.86";"66.79";"68.03";"68.83";"70.24";"70.63";"71.6";"72.05";"73.03";"72.96";"74.23";"74.43";"74.64";"75.2";"74.38";"74.89";"74.15";"74.56";"73.25";"71.19"
"Shanxi";"70.42";"71.83";"73.64";"74.08";"75.41";"75.95";"75.76";"76.63";"76.31";"76.33";"76.07";"75.37";"74.66";"73.92";"73.17";"72.93";"70.99";"71.77";"69.93";"69.61"
"Inner Mongolia";"72.43";"74.33";"76.77";"76.88";"75.62";"77.76";"77.37";"77.11";"77.72";"78.27";"79.43";"78.37";"77.31";"76.98";"76.14";"75.98";"75.01";"75.41";"74.13";"73.37"
"Liaoning";"70.43";"71.91";"73.88";"74.87";"75.78";"76.14";"76.53";"77.58";"79.37";"79.68";"77.87";"77.66";"77.46";"76.54";"76.69";"76.88";"75.99";"76.64";"75.6";"76.21"
"Jilin";"72.09";"73.39";"74.94";"75.34";"75.37";"76.5";"77.1";"77.61";"78.58";"80.02";"78.58";"78.76";"78.94";"78.64";"78.08";"78.62";"77.84";"78.65";"77.71";"77.04"
"Heilongjiang";"73.45";"74.76";"76.25";"77.23";"77.92";"78.01";"78.59";"79.02";"79.08";"79.04";"80.27";"79.62";"79";"78.17";"77.9";"77.93";"77.59";"78.67";"77.51";"76.64"
"Shanghai";"72.74";"73.14";"73.7";"75.21";"75.79";"77.36";"77.84";"80.21";"80";"82.52";"83.85";"81.35";"78.36";"79.06";"77.79";"77.49";"79.04";"75.81";"74.82";"75.84"
"Jiangsu";"68.27";"69.45";"71.13";"71.97";"72.62";"72.76";"73.75";"74.17";"74.42";"75.34";"76.2";"75.23";"74.28";"74.51";"74.59";"73.97";"73.6";"72.95";"71.64";"71.32"
"Zhejiang";"72.58";"72.71";"72.91";"73.32";"75.35";"75.42";"75.82";"78.35";"78.86";"78.91";"78.82";"76.98";"75.08";"75.33";"74.71";"74.97";"73.52";"74.61";"72.4";"72.42"
"Anhui";"65.91";"66.55";"67.38";"68.21";"67.91";"71";"71.05";"71.7";"71.01";"71.57";"71.5";"71.03";"70.59";"69.14";"68.63";"68.46";"66.82";"69.79";"69.99";"67.57"
"Fujian";"69.57";"71.03";"73.13";"73.79";"71.99";"71.76";"73.42";"74.82";"74.98";"74.69";"76.57";"74.72";"72.89";"72.26";"72.31";"72.7";"72.76";"72.22";"70.67";"71.31"
"Jiangxi";"66.7";"67.97";"69.64";"69.98";"68.64";"69.18";"69.47";"70.01";"71.29";"70.4";"70.91";"70.41";"69.92";"68.91";"68.4";"66.99";"66.47";"70.39";"69.81";"68.1"
"Shandong";"65.66";"66.01";"66.49";"66.83";"69.38";"71.41";"71.99";"72.74";"73.54";"73.35";"73.72";"74.16";"74.6";"74.66";"74.85";"75.17";"74.13";"73.66";"72.59";"72.66"
"Henan";"63.81";"65.29";"67.34";"67.64";"68.3";"69.14";"69.16";"70.31";"70.31";"70.63";"70.47";"71.23";"71.96";"72.33";"72.06";"71.04";"70.63";"70.64";"69.37";"68.71"
"Hubei";"68.68";"69.82";"71.35";"72.16";"71.95";"72.94";"73.59";"73.77";"75.15";"75.16";"75.58";"75.47";"75.36";"75.19";"74.41";"73.23";"71.94";"72.54";"70.97";"68.11"
"Hunan";"65.67";"66.19";"66.87";"68.03";"69.42";"69.91";"70.37";"70.83";"71.16";"70.25";"71.62";"71.61";"71.6";"72.82";"72.89";"71.44";"71.16";"72.68";"71.66";"71.06"
"Guangdong";"72.15";"73.47";"75.46";"74.83";"75.42";"75.57";"76.61";"75.26";"76.08";"76.65";"76.21";"75.71";"75.18";"73.97";"73.51";"72.67";"71.2";"66.94";"65.4";"67.05"
"Guangxi";"64.49";"65.97";"68";"68.11";"68";"68.95";"67.61";"68.57";"69.24";"68.08";"68.5";"68.98";"69.42";"68.79";"68.91";"68.78";"66.7";"70.61";"69.32";"69.29"
"Hainan";"69.6";"70.25";"71.18";"72.62";"71.99";"72.01";"71.74";"73.3";"73.11";"73.62";"73.2";"71.99";"70.8";"69.52";"69.79";"69.14";"67.77";"68.58";"68.08";"66.68"
"Chongqing";"66.97";"67.34";"67.87";"68.6";"69.33";"70.58";"71.11";"70.62";"71.15";"70.67";"71.54";"70.78";"70.04";"69.03";"69.39";"69.1";"68.37";"67.68";"72";"71.23"
"Sichuan";"66.78";"67.23";"67.85";"68.65";"70.24";"70.34";"71.18";"69.8";"70.69";"71.96";"71.77";"71.17";"70.6";"71.2";"69.88";"68.81";"67.23";"71.62";"71.3";"70.36"
"Guizhou";"64.71";"65.31";"66.17";"66.42";"68.76";"68.1";"68.08";"68.68";"68.63";"67.87";"66.73";"66.84";"66.93";"65.81";"64.48";"64.65";"63.46";"66.95";"66.52";"66.1"
"Yunnan";"69.48";"70.6";"72.08";"72.34";"72.67";"72.09";"72.48";"72.32";"71.96";"72.69";"72.74";"71.31";"69.9";"69.99";"70.02";"69.78";"68.36";"69.8";"68.34";"68.53"
"Tibet";"69.46";"68.83";"67.92";"70.78";"70.25";"70.99";"70.73";"69.96";"71.57";"72.46";"72.1";"72.65";"73.24";"71.39";"71.63";"69.11";"66.54";"68.78";"66.98";"68.3"
"Shaanxi";"68.86";"70.76";"73.4";"74.46";"73.27";"74.42";"74.6";"74.48";"75.09";"76.66";"76.49";"75.35";"74.27";"73.96";"73";"72.59";"71.82";"72.54";"71.35";"69.64"
"Gansu";"67.8";"69.37";"71.38";"71.09";"72.13";"73.08";"73.54";"74.69";"74.2";"74.21";"74.22";"73.47";"72.78";"71.2";"71.47";"70.83";"69.37";"71.31";"70.35";"69.55"
"Qinghai";"69.45";"70.53";"71.96";"72.86";"72.06";"73.05";"72.84";"74.62";"72.95";"72.38";"73.51";"72.76";"72.03";"71.42";"71.04";"70.43";"69.89";"70.8";"69.47";"68.74"
"Ningxia";"69.93";"69.87";"69.76";"70.95";"73.17";"73.07";"72.54";"73.48";"72.68";"72";"73.6";"72.7";"71.82";"70.65";"70.29";"69.94";"68.07";"68.51";"67.98";"68.52"
"Xinjiang";"70.26";"69.23";"67.79";"70.22";"69.84";"70.25";"71.05";"72";"72.8";"72.71";"73.45";"72.79";"72.13";"71.88";"71.75";"70.84";"69.98";"71.67";"69.85";"69.09"
